Name,Brand,Model,Socket,Chipset,Form Factor,Memory Type,RAM Slots,Max RAM,ECC Support,PCIe x16 Slots,PCIe x4 Slots,PCIe x1 Slots,M.2 Ports,M.2 Support,SATA Ports,SATA Express Ports,Audio Chipset,Audio Channels,LAN Chipset,Wireless LAN,Wi-Fi Generation,USB 2.0 Headers,USB 3.2 Gen1 Headers,USB 3.2 Gen2 Headers,USB 3.2 Gen2x2 Headers,SLI Support,CrossFire Support,RAID Support,Back Connect,Release Date,Price,Rating,Reviews,Availability,List_Price,URL,Product_ID,Page
GIGABYTE H810M S2H,Gigabyte,H810M S2H,LGA1851,Intel H810,Atx,,2,128 GB,No,1,0,1,1,2280 - M Key,4,0,,7.1 Channels,,No,,1,1,0,,No,No,Yes,No,"March 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$120,https://pangoly.com/en/product/gigabyte-h810m-s2h,e7885f8c-ad58-44a9-c4f6-08dd6ba34a3d,1
GIGABYTE H810M Gaming WIFI6,Gigabyte,H810M GAMING WIFI6,LGA1851,Intel H810,Atx,,2,128 GB,No,1,0,1,1,2280 - M Key,4,0,,7.1 Channels,,Yes,6,2,1,0,,No,No,Yes,No,"March 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$152,https://pangoly.com/en/product/gigabyte-h810m-gaming-wifi6,5c4f0e8a-4687-4947-c4f5-08dd6ba34a3d,1
Asus ROG CROSSHAIR X870E EXTREME,Asus,ROG CROSSHAIR X870E EXTREME90MB1LB0-MVAAY0,AM5,1 x Realtek 5Gb Ethernet,Atx,,4,256 GB,No,2,0,0,5,2242 / 2260 / 2280 / 22110 - M Key2242 / 2260 / 2280 - M Key2242 / 2260 / 2280 / 22110 - M Key2230 / 2242 / 2260 / 2280 / 22110 - M Key2230 / 2242 / 2260 / 2280 / 22110 - M Key,4,0,,Audio Features- SupremeFX Shielding Technology- ESS ES9219 QUAD DAC- LED-illuminated audio jacks- Rear optical S/PDIF out port- Premium audio capacitors,,Yes,7,2,2,1,,No,No,Yes,No,"March 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,1,In Stock,$900,https://pangoly.com/en/product/asus-rog-crosshair-x870e-extreme,e245433e-f36b-1410-8c03-003fe7c988bc,2
Gigabyte B760M D3HP WIFI6,Gigabyte,B760M D3HP WIFI6,LGA1700,B760,Atx,,4,192 GB,No,1,0,2,2,2280 - M Key2280 / 22110 - M Key,4,0,,,,Yes,6,2,1,0,,No,No,Yes,No,"February 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$229,https://pangoly.com/en/product/gigabyte-b760m-d3hp-wifi6,7df6287a-3776-4a02-9d4c-08dd9f4ddeee,2
ASUS ROG Strix Z890-H Gaming WiFi,Asus,ROG STRIX Z890-H GAMING WIFI90MB1K20-M0EAY090MB1K20-M0AAY0,LGA1851,Intel Z890,Atx,,4,256 GB,No,3,0,0,4,2242 / 2260 / 2280 / 22110 - M Key2280 - M Key2280 - M Key2242 / 2260 / 2280 - M Key,4,0,,ROG SupremeFX 7.1 Surround Sound High Definition Audio CODEC ALC4082,,Yes,7,2,1,1,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,1,In Stock,$330,https://pangoly.com/en/product/asus-rog-strix-z890-h-gaming-wifi,18a100e7-97fe-44d9-c4f4-08dd6ba34a3d,2
MSI MPG X870E Edge TI WiFi,Msi,MPG X870E EDGE TI WIFI7E59-002R,AM5,AMD X870E,Atx,,4,256 GB,No,3,0,0,5,2280 / 22110 - M Key2260 / 2280 - M Key2260 / 2280 - M Key2260 / 2280 - M Key2230 - E Key,4,0,,Realtek® ALC4080 Codec7.1-Channel USB High-Performance AudioSupports up to 32-Bit/384 kHz playback on front panelSupports S/PDIF output,,Yes,7,2,2,1,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,34,In Stock,$324,https://pangoly.com/en/product/msi-mpg-x870e-edge-ti-wifi,6666a8c4-05d4-4fbc-c4f1-08dd6ba34a3d,2
MSI B840 GAMING PLUS WIFI,Msi,B840 GAMING PLUS WIFI,AM5,Realtek 8125D,Atx,,4,256 GB,No,5,0,0,2,2260 / 2280 - M Key2260 / 2280 / 22110 - M Key,4,0,,8 Channels,,Yes,7,2,1,0,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$160,https://pangoly.com/en/product/msi-b840-gaming-plus-wifi,8bba433e-f36b-1410-8bee-003fe7c988bc,2
MSI PRO B840-P WIFI,Msi,PRO B840-P WIFI,AM5,Realtek 8125,Atx,,4,256 GB,No,5,0,0,2,2260 / 2280 - M Key2260 / 2280 / 22110 - M Key,4,0,,7.1 Channels,,Yes,7,2,1,0,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$160,https://pangoly.com/en/product/msi-pro-b840-p-wifi,93ba433e-f36b-1410-8bee-003fe7c988bc,2
Asus PRIME B840M-A WIFI,Asus,PRIME B840M-A WIFI90MB1J20-M0EAY0,AM5,AMD B840,Atx,,4,192 GB,No,3,0,0,3,2280 - M Key2242 / 2260 / 2280 - M Key2280 - M Key,4,0,,,,Yes,6E,2,1,0,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$280,https://pangoly.com/en/product/asus-prime-b840m-a-wifi,4fbb433e-f36b-1410-8bee-003fe7c988bc,2
Asus PRIME B840M-A-CSM,Asus,PRIME B840M-A-CSM,AM5,AMD B840,Atx,,4,192 GB,No,3,0,0,3,2280 - M Key2242 / 2260 / 2280 - M Key2280 - M Key,4,0,,,,No,,2,1,0,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,Out of Stock,$267,https://pangoly.com/en/product/asus-prime-b840m-a-csm,64f8423e-f36b-1410-8bef-003fe7c988bc,2
ASRock H810M-X,Asrock,H810M-X90-MXBS4-A0UAYZ,LGA1851,Dragon RTL8125BG,Atx,,2,128 GB,No,1,0,1,2,2280 - M Key2230 - E Key,4,0,,7.1 Channels,,No,,1,1,0,,No,No,No,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$101,https://pangoly.com/en/product/asrock-h810m-x,82b3433e-f36b-1410-8bf1-003fe7c988bc,2
ASRock H810M-X WiFi,Asrock,H810M-X WiFi90-MXBNK0-A0UAYZ,LGA1851,Dragon RTL8125BG,Atx,,2,128 GB,No,1,0,1,2,2280 - M Key2230 - E Key,4,0,,7.1 Channels,,Yes,5,1,1,0,,No,No,No,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$110,https://pangoly.com/en/product/asrock-h810m-x-wifi,77b3433e-f36b-1410-8bf1-003fe7c988bc,2
ASRock B860M Pro-A,Asrock,B860M Pro-A,LGA1851,Dragon RTL8125BG,Atx,,4,256 GB,No,1,1,0,4,2280 - M Key2230 / 2242 / 2260 / 2280 - M Key2280 - M Key2230 - E Key,4,0,,7.1 Channels,,No,,2,1,0,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$110,https://pangoly.com/en/product/asrock-b860m-pro-a,cabb433e-f36b-1410-8bee-003fe7c988bc,2
Asus PRIME H810M-A-CSM,Asus,PRIME H810M-A-CSM90MB1KK0-M0AAYC,LGA1851,Intel H810,Atx,,2,128 GB,No,1,0,1,3,2280 - M Key2242 / 2260 / 2280 - M Key2230 - E Key,4,0,,Realtek 7.1 Surround Sound High Definition Audio CODEC,,No,,1,0,0,,No,No,No,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$120,https://pangoly.com/en/product/asus-prime-h810m-a-csm,b9b2433e-f36b-1410-8bf1-003fe7c988bc,2
Asus PRIME H810M-A WIFI-CSM,Asus,PRIME H810M-A WIFI-CSM90MB1KJ0-M0AAYC,LGA1851,Intel H810,Atx,,2,128 GB,No,1,0,1,2,2280 - M Key2242 / 2260 / 2280 - M Key,4,0,,Realtek 7.1 Surround Sound High Definition Audio CODEC,,Yes,6,1,1,0,,No,No,No,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$130,https://pangoly.com/en/product/asus-prime-h810m-a-wifi-csm,82b2433e-f36b-1410-8bf1-003fe7c988bc,3
ASRock B860 Pro RS,Asrock,B860 Pro RS,LGA1851,Dragon RTL8125BG,Atx,,4,256 GB,No,2,0,0,4,2280 - M Key2230 / 2242 / 2260 / 2280 - M Key2280 - M Key2230 - E Key,4,0,,7.1 CH HD Audio with Content Protection,,No,,2,1,0,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$130,https://pangoly.com/en/product/asrock-b860-pro-rs,65bb433e-f36b-1410-8bee-003fe7c988bc,3
ASRock B860 Pro-A,Asrock,B860 Pro-A,LGA1851,Dragon RTL8125BG,Atx,,4,256 GB,No,2,0,0,4,2280 - M Key2230 / 2242 / 2260 / 2280 - M Key2280 - M Key2230 - E Key,4,0,,7.1 Channels,,No,,2,1,0,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$140,https://pangoly.com/en/product/asrock-b860-pro-a,a7bb433e-f36b-1410-8bee-003fe7c988bc,3
MSI PRO B860M-A WIFI,Msi,PRO B860M-A WIFI,LGA1851,Killer E5000B-CG,Atx,,4,256 GB,No,4,0,0,3,2242 / 2260 / 2280 - M Key2260 / 2280 - M Key2280 - M Key,4,0,,7.1 Channels,,Yes,7,2,2,0,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$150,https://pangoly.com/en/product/msi-pro-b860m-a-wifi,48b2433e-f36b-1410-8bf1-003fe7c988bc,3
Gigabyte B860 EAGLE WIFI6E,Gigabyte,B860 EAGLE WIFI6E,LGA1851,Intel B860,Atx,,4,256 GB,No,3,0,0,3,2280 / 25110 - M Key2280 / 25110 - M Key2280 / 25110 - M Key,4,0,,7.1 Channels,,Yes,6E,2,1,0,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$150,https://pangoly.com/en/product/gigabyte-b860-eagle-wifi6e,89b2433e-f36b-1410-8bf1-003fe7c988bc,3
Gigabyte B860 DS3H WIFI6E,Gigabyte,B860 DS3H WIFI6E,LGA1851,Intel B860,Atx,,4,256 GB,No,5,0,0,2,2280 / 25110 - M Key2280 / 25110 - M Key,4,0,,7.1 Channels,,Yes,6E,2,1,0,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$157,https://pangoly.com/en/product/gigabyte-b860-ds3h-wifi6e,1db3433e-f36b-1410-8bf1-003fe7c988bc,3
ASRock B860 LiveMixer WiFi,Asrock,B860 LiveMixer WiFiB860 Live Mixer WiFi,LGA1851,Dragon RTL8125BG,Atx,,4,256 GB,No,2,0,0,4,2280 - M Key2230 / 2242 / 2260 / 2280 - M Key2280 - M Key2230 - E Key,4,0,,7.1 CH HD Audio with Content Protection,,Yes,6E,2,2,0,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$160,https://pangoly.com/en/product/asrock-b860-livemixer-wifi,9abb433e-f36b-1410-8bee-003fe7c988bc,3
ASRock B860 Steel Legend WiFi,Asrock,B860 Steel Legend WiFi,LGA1851,Dragon RTL8125BG,Atx,,4,256 GB,No,2,0,0,5,2280 - M Key2230 / 2242 / 2260 / 2280 - M Key2280 - M Key2280 - M Key2230 - E Key,4,0,,7.1 CH HD Audio with Content Protection,,Yes,6E,2,2,1,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$160,https://pangoly.com/en/product/asrock-b860-steel-legend-wifi,8dbb433e-f36b-1410-8bee-003fe7c988bc,3
ASRock B860M LiveMixer WiFi,Asrock,B860M LiveMixer WiFiB860M Live Mixer WiFi,LGA1851,Dragon RTL8125BG,Atx,,4,256 GB,No,1,1,0,4,2280 - M Key2280 - M Key2280 - M Key2230 - E Key,4,0,,7.1 CH HD Audio with Content Protection,,Yes,6E,2,2,0,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$160,https://pangoly.com/en/product/asrock-b860m-livemixer-wifi,83bb433e-f36b-1410-8bee-003fe7c988bc,3
Gigabyte B860M GAMING X WIFI6E,Gigabyte,B860M GAMING X WIFI6E,LGA1851,Intel B860,Atx,,4,256 GB,No,2,0,0,2,2280 - M Key2280 / 25110 - M Key,4,0,,7.1 Channels,,Yes,6E,2,1,0,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$165,https://pangoly.com/en/product/gigabyte-b860m-gaming-x-wifi6e,78b2433e-f36b-1410-8bf1-003fe7c988bc,3
ASUS Prime B860M-A WiFi-CSM,Asus,PRIME B860M-A WIFI-CSM90MB1JY0-M0AAYC,LGA1851,Intel B860,Atx,,4,256 GB,No,2,0,1,2,2242 / 2260 / 2280 - M Key2242 / 2260 / 2280 - M Key,4,0,,Realtek 7.1 Surround Sound High Definition Audio CODEC,,No,,1,1,0,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$170,https://pangoly.com/en/product/asus-prime-b860m-a-wifi-csm,dcf64381-7654-498f-2700-08dd30aa018b,3
ASRock B860 Lightning WiFi,Asrock,B860 Lightning WiFi,LGA1851,Killer E3100G,Atx,,4,256 GB,No,2,0,0,5,2280 - M Key2230 / 2242 / 2260 / 2280 - M Key2280 - M Key2280 - M Key2230 - E Key,4,0,,7.1 CH HD Audio with Content Protection,,Yes,6E,2,2,1,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$170,https://pangoly.com/en/product/asrock-b860-lightning-wifi,b0bb433e-f36b-1410-8bee-003fe7c988bc,3
Gigabyte B860M D3HP,Gigabyte,B860M D3HP,LGA1851,Intel B860,Atx,,4,256 GB,No,1,0,2,2,2280 - M Key2280 - M Key,4,0,,7.1 Channels,,No,,2,1,0,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$172,https://pangoly.com/en/product/gigabyte-b860m-d3hp,56b2433e-f36b-1410-8bf1-003fe7c988bc,4
Gigabyte B860M AORUS ELITE WIFI6E ICE,Gigabyte,B860M AORUS ELITE WIFI6E ICEB860M A ELT WF6E ICE,LGA1851,Intel B860,Atx,,4,256 GB,No,2,0,0,3,2280 - M Key2580 - M Key2280 / 25110 - M Key,4,0,,7.1 Channels,,Yes,6E,2,1,0,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$180,https://pangoly.com/en/product/gigabyte-b860m-aorus-elite-wifi6e-ice,91b2433e-f36b-1410-8bf1-003fe7c988bc,4
Asus PRIME B860-PLUS WIFI,Asus,PRIME B860-PLUS WIFI90MB1K50-M0AAY0,LGA1851,Intel B860,Atx,,4,256 GB,No,5,0,0,2,2242 / 2260 / 2280 - M Key2242 / 2260 / 2280 / 22110 - M Key,4,0,,Realtek 7.1 Surround Sound High Definition Audio CODEC,,Yes,6E,1,1,0,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$180,https://pangoly.com/en/product/asus-prime-b860-plus-wifi,43b2433e-f36b-1410-8bf1-003fe7c988bc,4
Asus PRIME B860-PLUS WIFI-CSM,Asus,PRIME B860-PLUS WIFI-CSM90MB1K50-MVAAYC,LGA1851,Intel B860,Atx,,4,256 GB,No,5,0,0,2,2242 / 2260 / 2280 - M Key2242 / 2260 / 2280 / 22110 - M Key,4,0,,,,Yes,6E,1,1,0,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$180,https://pangoly.com/en/product/asus-prime-b860-plus-wifi-csm,43b3433e-f36b-1410-8bf1-003fe7c988bc,4
Asus TUF GAMING B860-PLUS WIFI,,TUF GAMING B860-PLUS WIFI90MB1JL0-M0AAY0,LGA1851,Intel B860,Atx,,4,256 GB,No,2,0,1,3,2280 - M Key2280 / 22110 - M Key2242 / 2260 / 2280 - M Key,4,0,,Realtek 7.1 Surround Sound High Definition Audio CODEC,,Yes,7,1,1,0,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$185,https://pangoly.com/en/product/asus-tuf-gaming-b860-plus-wifi,a4b2433e-f36b-1410-8bf1-003fe7c988bc,4
Gigabyte B860 AORUS ELITE WIFI7 ICE,Gigabyte,B860 AORUS ELITE WIFI7 ICEB860 A ELITE WF7 ICE,LGA1851,Intel B860,Atx,,4,256 GB,No,3,0,0,3,2280 / 25110 - M Key2280 / 22110 - M Key2280 / 22110 - M Key,4,0,,Realtek® Audio CODECHigh Definition Audio2/4/5.1/7.1-channel,,Yes,7,2,1,0,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$190,https://pangoly.com/en/product/gigabyte-b860-aorus-elite-wifi7-ice,15b3433e-f36b-1410-8bf1-003fe7c988bc,4
Gigabyte B860M AORUS ELITE WIFI6E,Gigabyte,B860M AORUS ELITE WIFI6EB860M A ELITE WIFI6E,LGA1851,Intel B860,Atx,,4,256 GB,No,2,0,0,3,2280 - M Key2580 - M Key2280 / 25110 - M Key,4,0,,7.1 Channels,,Yes,6E,2,1,0,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$190,https://pangoly.com/en/product/gigabyte-b860m-aorus-elite-wifi6e,aab2433e-f36b-1410-8bf1-003fe7c988bc,4
Gigabyte B860 GAMING X WIFI6E,Gigabyte,B860 GAMING X WIFI6E,LGA1851,Intel B860,Atx,,4,256 GB,No,3,0,0,3,2280 / 25110 - M Key2280 / 22110 - M Key2280 / 22110 - M Key,4,0,,7.1 Channels,,Yes,6E,2,1,0,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$190,https://pangoly.com/en/product/gigabyte-b860-gaming-x-wifi6e,f2b2433e-f36b-1410-8bf1-003fe7c988bc,4
Gigabyte B860M DS3H WIFI6E,Gigabyte,B860M DS3H WIFI6E,LGA1851,Intel B860,Atx,,4,256 GB,No,4,0,0,2,2280 - M Key2280 - M Key,4,0,,7.1 Channels,,Yes,6E,2,1,0,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$191,https://pangoly.com/en/product/gigabyte-b860m-ds3h-wifi6e,6fb3433e-f36b-1410-8bf1-003fe7c988bc,4
ASRock B860 Pro-A WiFi,Asrock,B860 Pro-A WiFi,LGA1851,Dragon RTL8125BG,Atx,,4,256 GB,No,2,0,0,4,2280 - M Key2230 / 2242 / 2260 / 2280 - M Key2280 - M Key2230 - E Key,4,0,,7.1 Channels,,Yes,6E,2,1,0,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$192,https://pangoly.com/en/product/asrock-b860-pro-a-wifi,a1bb433e-f36b-1410-8bee-003fe7c988bc,4
MSI B860 GAMING PLUS WIFI,Msi,B860 GAMING PLUS WIFI,LGA1851,Killer E5000B,Atx,,4,256 GB,No,4,0,0,3,2260 / 2280 - M Key2242 / 2260 / 2280 - M Key2260 / 2280 - M Key,4,0,,7.1 Channels,,Yes,7,2,2,0,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$200,https://pangoly.com/en/product/msi-b860-gaming-plus-wifi,d3b2433e-f36b-1410-8bf1-003fe7c988bc,4
MSI PRO B860-P WIFI,Msi,PRO B860-P WIFI,LGA1851,Realtek RTL8126,Atx,,4,256 GB,No,4,0,0,3,2260 / 2280 - M Key2242 / 2260 / 2280 - M Key2260 / 2280 - M Key,4,0,,7.1 Channels,,Yes,7,2,2,0,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$200,https://pangoly.com/en/product/msi-pro-b860-p-wifi,b1b2433e-f36b-1410-8bf1-003fe7c988bc,4
MSI B860M GAMING PLUS WIFI,Msi,B860M GAMING PLUS WIFI,LGA1851,Killer E5000B,Atx,,4,256 GB,No,4,0,0,3,2242 / 2260 / 2280 - M Key2260 / 2280 - M Key2280 - M Key,4,0,,7.1 Channels,,Yes,7,2,2,0,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$200,https://pangoly.com/en/product/msi-b860m-gaming-plus-wifi,9db2433e-f36b-1410-8bf1-003fe7c988bc,5
Asus ROG STRIX B860-I GAMING WIFI,Asus,ROG STRIX B860-I GAMING WIFI90MB1JB0-M0AAY0,LGA1851,Realtek ALC1220P,Mini ITX,,2,128 GB,No,1,0,0,2,2260 / 2280 - M Key2242 / 2260 / 2280 - M Key,4,0,,Realtek ALC1220P 7.1 Surround Sound High Definition Audio CODEC,,Yes,7,1,1,0,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$200,https://pangoly.com/en/product/asus-rog-strix-b860-i-gaming-wifi,1ab2433e-f36b-1410-8bf1-003fe7c988bc,5
Asus TUF GAMING B860M-PLUS WIFI,Asus,TUF GAMING B860M-PLUS WIFI90MB1JV0-M0AAY0,LGA1851,Intel B860,Atx,,4,256 GB,No,1,1,0,3,2280 - M Key2242 / 2260 / 2280 - M Key2280 - M Key,4,0,,"Realtek 7.1 Surround Sound High Definition Audio CODEC- Supports: Jack-detection, Multi-streaming, Front Panel Jack-retasking- Supports up to 24-Bit/192 kHz playbackAudio Features- Audio Shielding- Rear optical S/PDIF out port- Premium audio capacitors- Dedicated audio PCB layers",,Yes,7,1,1,0,,No,No,Yes,No,"January 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$207,https://pangoly.com/en/product/asus-tuf-gaming-b860m-plus-wifi,6ab2433e-f36b-1410-8bf1-003fe7c988bc,5
