Name,Brand,Model,Cores,Threads,Base Clock,Turbo Clock,Socket,TDP,L3 Cache,Process,Integrated Graphics,Cooler Included,Seller,Seller_Product_URL,Availability,Price
AMD Ryzen 7 9800X3D27th / 575,AMD,100-1000001084WOF100-100001084WOF,8.0,16.0,5.2,5200.0,AM5,120.0,96.0,4 nm,Radeon,No,BestBuy,https://bestbuy.7tiv.net/c/2632153/2711001/10014?prodsku=6606318&u=https%3A%2F%2Fwww.bestbuy.com%2Fproduct%2Famd-ryzen-7-9800x3d-8-core-16-thread-4-7-ghz-5-2-ghz-max-boost-socket-am5-unlocked-desktop-processor-silver%2FJXKQHH5XSR&intsrc=CATF_21610,In Stock,479.0
AMD Ryzen 9 3900X116th / 575,AMD,100-100000023BOXRyzen 9 3900X,12.0,24.0,4.6,4600.0,AM4,105.0,70.0,7 nm,,Yes,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIBMM4KJ14113%26ignorebbr%3d1,Out of Stock,399.0
AMD Ryzen 9 3900X116th / 575,AMD,100-100000023BOXRyzen 9 3900X,12.0,24.0,4.6,4600.0,AM4,105.0,70.0,7 nm,,Yes,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16819113103%26ignorebbr%3d1,Out of Stock,468.99
AMD Ryzen 9 3900X116th / 575,AMD,100-100000023BOXRyzen 9 3900X,12.0,24.0,4.6,4600.0,AM4,105.0,70.0,7 nm,,Yes,B&H Photo Video,https://www.bhphotovideo.com/c/product/1485447-REG/amd_100_100000023box_ryzen_9_3900x_3_8.html/BI/21936/KBID/28297,Out of Stock,498.99
AMD Ryzen 9 3900X116th / 575,AMD,100-100000023BOXRyzen 9 3900X,12.0,24.0,4.6,4600.0,AM4,105.0,70.0,7 nm,,Yes,Adorama,https://adorama.rfvk.net/c/2632153/1175784/1036?prodsku=AMD100123BOX&u=https%3A%2F%2Fwww.adorama.com%2Famd100123box.html&intsrc=CATF_9102,Out of Stock,499.0
AMD Ryzen 9 3900X116th / 575,AMD,100-100000023BOXRyzen 9 3900X,12.0,24.0,4.6,4600.0,AM4,105.0,70.0,7 nm,,Yes,BestBuy,https://bestbuy.7tiv.net/c/2632153/633495/10014?prodsku=6356274&u=https%3A%2F%2Fapi.bestbuy.com%2Fclick%2F-%2F6356274%2Fpdp&intsrc=CATF_4831,Out of Stock,499.99
AMD Ryzen 9 3900X OEM,AMD,100-000000023,12.0,24.0,3800.0,4600.0,AM4,105.0,64.0,7 nm,,No,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIBGW3KFA6966%26ignorebbr%3d1,In Stock,125.51
AMD Ryzen 9 3900XT99th / 575,AMD,100-100000277WOF,12.0,24.0,4.7,4700.0,AM4,105.0,70.0,7 nm,,No,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIBGW3KHH3269%26ignorebbr%3d1,Out of Stock,227.12
AMD Ryzen 9 3900XT99th / 575,AMD,100-100000277WOF,12.0,24.0,4.7,4700.0,AM4,105.0,70.0,7 nm,,No,Adorama,https://adorama.rfvk.net/c/2632153/1175784/1036?prodsku=AMD101277WOF&u=https%3A%2F%2Fwww.adorama.com%2Famd101277wof.html&intsrc=CATF_9102,Out of Stock,479.0
AMD Ryzen 9 3900XT99th / 575,AMD,100-100000277WOF,12.0,24.0,4.7,4700.0,AM4,105.0,70.0,7 nm,,No,Amazon.com,https://www.amazon.com/dp/B089WD454D?tag=pangoly0b-20,Out of Stock,485.25
AMD Ryzen 9 3950X103rd / 575,AMD,100-100000051WOF100-000000051Ryzen 9 3950X,16.0,32.0,4.7,4700.0,AM4,105.0,72.0,7 nm,,No,Amazon.com,https://www.amazon.com/dp/B07ZTYKLZW?tag=pangoly0b-20,In Stock,748.99
AMD Ryzen 9 5900X84th / 575,AMD,100-100000061WOF,12.0,24.0,4.8,4800.0,AM4,105.0,70.0,7 nm,,No,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIAC3JKJ71537%26ignorebbr%3d1,Out of Stock,249.99
AMD Ryzen 9 5900X84th / 575,AMD,100-100000061WOF,12.0,24.0,4.8,4800.0,AM4,105.0,70.0,7 nm,,No,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16819113664%26ignorebbr%3d1,Out of Stock,256.99
AMD Ryzen 9 5900X84th / 575,AMD,100-100000061WOF,12.0,24.0,4.8,4800.0,AM4,105.0,70.0,7 nm,,No,Amazon.com,https://www.amazon.com/dp/B08164VTWH?tag=pangoly0b-20,In Stock,368.74
AMD Ryzen 9 5900XT,AMD,100-100001581WOF,16.0,32.0,4.8,4800.0,AM4,105.0,72.0,7 nm,,No,Amazon.com,https://www.amazon.com/dp/B0D6NMCZG1?tag=pangoly0b-20,In Stock,283.55
AMD Ryzen 9 5900XT,AMD,100-100001581WOF,16.0,32.0,4.8,4800.0,AM4,105.0,72.0,7 nm,,No,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16819113845%26ignorebbr%3d1,In Stock,283.55
AMD Ryzen 9 5900XT,AMD,100-100001581WOF,16.0,32.0,4.8,4800.0,AM4,105.0,72.0,7 nm,,No,B&H Photo Video,https://www.bhphotovideo.com/c/product/1834131-REG/amd_100_100001581wof_ryzen_9_5900xt_3_3.html/BI/21936/KBID/28297,In Stock,284.99
AMD Ryzen 9 5900XT,AMD,100-100001581WOF,16.0,32.0,4.8,4800.0,AM4,105.0,72.0,7 nm,,No,BestBuy,https://bestbuy.7tiv.net/c/2632153/2711001/10014?prodsku=10736728&u=https%3A%2F%2Fwww.bestbuy.com%2Fproduct%2Famd-ryzen-9-5900xt-16-core-32-thread-3-3-ghz-4-8-ghz-max-boost-socket-am4-unlocked-desktop-processor-silver%2FJXKQHH589C&intsrc=CATF_21610,Out of Stock,380.5
AMD Ryzen 9 5950X79th / 575,AMD,100-100000059WOF,16.0,32.0,4.9,4900.0,AM4,105.0,72.0,7 nm,,No,Amazon.com,https://www.amazon.com/dp/B0815Y8J9N?tag=pangoly0b-20,In Stock,287.24
AMD Ryzen 9 5950X79th / 575,AMD,100-100000059WOF,16.0,32.0,4.9,4900.0,AM4,105.0,72.0,7 nm,,No,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIA2W0JWA7462%26ignorebbr%3d1,In Stock,296.95
AMD Ryzen 9 790047th / 575,AMD,100-100000590BOX,12.0,24.0,5.4,5400.0,AM5,65.0,76.0,5 nm,Radeon,Yes,Amazon.com,https://www.amazon.com/dp/B0BMQK718H?tag=pangoly0b-20,In Stock,403.0
AMD Ryzen 9 7900X40th / 575,AMD,100-100000589WOF,12.0,24.0,5.6,5600.0,AM5,170.0,76.0,5 nm,Radeon,No,Amazon.com,https://www.amazon.com/dp/B0BBJ59WJ4?tag=pangoly0b-20,In Stock,321.0
AMD Ryzen 9 7900X40th / 575,AMD,100-100000589WOF,12.0,24.0,5.6,5600.0,AM5,170.0,76.0,5 nm,Radeon,No,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16819113769%26ignorebbr%3d1,In Stock,323.99
AMD Ryzen 9 7900X40th / 575,AMD,100-100000589WOF,12.0,24.0,5.6,5600.0,AM5,170.0,76.0,5 nm,Radeon,No,B&H Photo Video,https://www.bhphotovideo.com/c/product/1723469-REG/amd_100_100000589wof_ryzen_9_7900x_4_7.html/BI/21936/KBID/28297,In Stock,324.82
AMD Ryzen 9 7900X40th / 575,AMD,100-100000589WOF,12.0,24.0,5.6,5600.0,AM5,170.0,76.0,5 nm,Radeon,No,Walmart,https://goto.walmart.com/c/2632153/1285387/9383?prodsku=1679137132&u=https%3A%2F%2Fwww.walmart.com%2Fip%2FAMD-Ryzen-9-7900X-12-Core-4-7-GHz-Socket-AM5-170W-Desktop-Processor-100-100000589WOF%2F1679137132&intsrc=CATF_9768,In Stock,329.99
AMD Ryzen 9 7900X40th / 575,AMD,100-100000589WOF,12.0,24.0,5.6,5600.0,AM5,170.0,76.0,5 nm,Radeon,No,BestBuy,https://bestbuy.7tiv.net/c/2632153/2711001/10014?prodsku=10102518&u=https%3A%2F%2Fwww.bestbuy.com%2Fproduct%2Famd-ryzen-9-7900x-12-core-24-thread-4-7-ghz-5-6-ghz-max-boost-socket-am5-unlocked-desktop-processor-silver%2FJXKQHH52GL&intsrc=CATF_21610,Out of Stock,623.2
AMD Ryzen 9 7900X3D45th / 575,AMD,100-100000909WOF,12.0,24.0,4400.0,5600.0,AM5,120.0,128.0,5 nm,Radeon,No,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIBWFCKNK3929%26ignorebbr%3d1,In Stock,527.53
AMD Ryzen 9 7950X38th / 575,AMD,100-100000514WOF,16.0,32.0,5.7,5700.0,AM5,170.0,80.0,5 nm,Radeon,No,Amazon.com,https://www.amazon.com/dp/B0BBHD5D8Y?tag=pangoly0b-20,Out of Stock,448.9
AMD Ryzen 9 7950X38th / 575,AMD,100-100000514WOF,16.0,32.0,5.7,5700.0,AM5,170.0,80.0,5 nm,Radeon,No,BestBuy,https://bestbuy.7tiv.net/c/2632153/2711001/10014?prodsku=6519470&u=https%3A%2F%2Fwww.bestbuy.com%2Fproduct%2Famd-ryzen-9-7950x-16-core-32-thread-4-5ghz-5-7-ghz-max-boost-socket-am5-unlocked-desktop-processor-silver%2FJXKQHH528Y&intsrc=CATF_21610,In Stock,501.0
AMD Ryzen 9 7950X38th / 575,AMD,100-100000514WOF,16.0,32.0,5.7,5700.0,AM5,170.0,80.0,5 nm,Radeon,No,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16819113771%26ignorebbr%3d1,Out of Stock,545.99
AMD Ryzen 9 7950X38th / 575,AMD,100-100000514WOF,16.0,32.0,5.7,5700.0,AM5,170.0,80.0,5 nm,Radeon,No,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIBGW3KFV9679%26ignorebbr%3d1,In Stock,550.2
AMD Ryzen 9 7950X3D39th / 575,AMD,100-100000908WOF,16.0,32.0,4200.0,5700.0,AM5,120.0,128.0,5 nm,Radeon,No,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIBGW3KFA6677%26ignorebbr%3d1,Out of Stock,747.38
AMD Ryzen 9 7950X3D39th / 575,AMD,100-100000908WOF,16.0,32.0,4200.0,5700.0,AM5,120.0,128.0,5 nm,Radeon,No,Amazon.com,https://www.amazon.com/dp/B0BTRH9MNS?tag=pangoly0b-20,In Stock,799.99
AMD Ryzen 9 9900X13th / 575,AMD,100-100000662WOF,12.0,24.0,5.6,5600.0,AM5,120.0,76.0,4 nm,Radeon,No,Walmart,https://goto.walmart.com/c/2632153/1285387/9383?prodsku=8875755088&u=https%3A%2F%2Fwww.walmart.com%2Fip%2FAMD-Ryzen-9-9900X-WOF%2F8875755088&intsrc=CATF_9768,In Stock,354.86
AMD Ryzen 9 9900X13th / 575,AMD,100-100000662WOF,12.0,24.0,5.6,5600.0,AM5,120.0,76.0,4 nm,Radeon,No,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16819113842%26ignorebbr%3d1,In Stock,370.0
AMD Ryzen 9 9900X13th / 575,AMD,100-100000662WOF,12.0,24.0,5.6,5600.0,AM5,120.0,76.0,4 nm,Radeon,No,Amazon.com,https://www.amazon.com/dp/B0D6NN87T8?tag=pangoly0b-20,In Stock,370.0
AMD Ryzen 9 9900X13th / 575,AMD,100-100000662WOF,12.0,24.0,5.6,5600.0,AM5,120.0,76.0,4 nm,Radeon,No,B&H Photo Video,https://www.bhphotovideo.com/c/product/1834126-REG/amd_100_100000662wof_ryzen_9_9900x.html/BI/21936/KBID/28297,In Stock,379.99
AMD Ryzen 9 9900X13th / 575,AMD,100-100000662WOF,12.0,24.0,5.6,5600.0,AM5,120.0,76.0,4 nm,Radeon,No,BestBuy,https://bestbuy.7tiv.net/c/2632153/2711001/10014?prodsku=10102003&u=https%3A%2F%2Fwww.bestbuy.com%2Fproduct%2Famd-ryzen-9-9900x-12-core-24-thread-4-4-ghz-5-6-ghz-max-boost-socket-am5-unlocked-desktop-processor-silver%2FJXKQHH5XS4&intsrc=CATF_21610,Out of Stock,506.13
AMD Ryzen 9 9900X3D23rd / 575,AMD,100-1000001368WOF100-100001368WOF,12.0,24.0,4400.0,5500.0,AM5,120.0,128.0,4 nm,Radeon,No,Amazon.com,https://www.amazon.com/dp/B0DWGWN8GY?tag=pangoly0b-20,In Stock,539.99
AMD Ryzen 9 9900X3D23rd / 575,AMD,100-1000001368WOF100-100001368WOF,12.0,24.0,4400.0,5500.0,AM5,120.0,128.0,4 nm,Radeon,No,B&H Photo Video,https://www.bhphotovideo.com/c/product/1878569-REG/amd_ryzen_9_9900x3d_4_4.html/BI/21936/KBID/28297,In Stock,553.99
AMD Ryzen 9 9900X3D23rd / 575,AMD,100-1000001368WOF100-100001368WOF,12.0,24.0,4400.0,5500.0,AM5,120.0,128.0,4 nm,Radeon,No,BestBuy,https://bestbuy.7tiv.net/c/2632153/2711001/10014?prodsku=6621940&u=https%3A%2F%2Fwww.bestbuy.com%2Fproduct%2Famd-ryzen-9-9900x3d-12-core-24-thread-4-4-ghz-5-5-ghz-max-boost-socket-am5-unlocked-desktop-processor-black%2FJXKQHH5XFX&intsrc=CATF_21610,In Stock,599.0
AMD Ryzen 9 9900X3D23rd / 575,AMD,100-1000001368WOF100-100001368WOF,12.0,24.0,4400.0,5500.0,AM5,120.0,128.0,4 nm,Radeon,No,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16819113886%26ignorebbr%3d1,In Stock,599.0
AMD Ryzen 9 9950X4th / 575,AMD,100-100001277WOF,16.0,32.0,5.7,5700.0,AM5,170.0,80.0,4 nm,Radeon,No,Amazon.com,https://www.amazon.com/dp/B0D6NNRBGP?tag=pangoly0b-20,In Stock,542.09
AMD Ryzen 9 9950X4th / 575,AMD,100-100001277WOF,16.0,32.0,5.7,5700.0,AM5,170.0,80.0,4 nm,Radeon,No,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16819113841%26ignorebbr%3d1,In Stock,542.59
AMD Ryzen 9 9950X4th / 575,AMD,100-100001277WOF,16.0,32.0,5.7,5700.0,AM5,170.0,80.0,4 nm,Radeon,No,B&H Photo Video,https://www.bhphotovideo.com/c/product/1834127-REG/amd_100_100001277wof_ryzen_9_9950x.html/BI/21936/KBID/28297,In Stock,542.59
AMD Ryzen 9 9950X4th / 575,AMD,100-100001277WOF,16.0,32.0,5.7,5700.0,AM5,170.0,80.0,4 nm,Radeon,No,BestBuy,https://bestbuy.7tiv.net/c/2632153/2711001/10014?prodsku=11013385&u=https%3A%2F%2Fwww.bestbuy.com%2Fproduct%2Famd-ryzen-9-9950x-16-core-32-thread-4-3-ghz-5-7-ghz-max-boost-socket-am5-unlocked-desktop-processor-silver%2FJXKQHH5XP5&intsrc=CATF_21610,Out of Stock,575.49
AMD Ryzen 9 9950X4th / 575,AMD,100-100001277WOF,16.0,32.0,5.7,5700.0,AM5,170.0,80.0,4 nm,Radeon,No,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIA0ZXKB19578%26ignorebbr%3d1,Out of Stock,639.25
AMD Ryzen 9 9950X3D6th / 575,AMD,100-100000719WOF,16.0,32.0,4300.0,5700.0,AM5,170.0,128.0,4 nm,Radeon,No,Amazon.com,https://www.amazon.com/dp/B0DVZSG8D5?tag=pangoly0b-20,In Stock,649.99
AMD Ryzen 9 9950X3D6th / 575,AMD,100-100000719WOF,16.0,32.0,4300.0,5700.0,AM5,170.0,128.0,4 nm,Radeon,No,B&H Photo Video,https://www.bhphotovideo.com/c/product/1878570-REG/amd_ryzen_9_9950x3d_4_4.html/BI/21936/KBID/28297,In Stock,649.99
AMD Ryzen 9 9950X3D6th / 575,AMD,100-100000719WOF,16.0,32.0,4300.0,5700.0,AM5,170.0,128.0,4 nm,Radeon,No,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16819113884%26ignorebbr%3d1,In Stock,679.99
AMD Ryzen 9 9950X3D6th / 575,AMD,100-100000719WOF,16.0,32.0,4300.0,5700.0,AM5,170.0,128.0,4 nm,Radeon,No,BestBuy,https://bestbuy.7tiv.net/c/2632153/2711001/10014?prodsku=6621941&u=https%3A%2F%2Fwww.bestbuy.com%2Fproduct%2Famd-ryzen-9-9950x3d-16-core-32-thread-4-3-ghz-5-7-ghz-max-boost-socket-am5-unlocked-desktop-processor-black%2FJXKQHH5X53&intsrc=CATF_21610,In Stock,699.0
AMD Ryzen Threadripper 2920X,AMD,YD292XA8AFWOF,12.0,24.0,3500.0,4.3,sTR4,180.0,38.0,12 nm,,No,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIATJ1HWX3059%26ignorebbr%3d1,Out of Stock,452.89
AMD Ryzen Threadripper 2950X,AMD,YD295XA8AFWOF,16.0,32.0,3500.0,4.4,sTR4,180.0,40.0,12 nm,,No,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIA4REK9P7527%26ignorebbr%3d1,Out of Stock,399.99
AMD Ryzen Threadripper 2970WX,AMD,YD297XAZAFWOF,24.0,48.0,3000.0,4.2,sTR4,250.0,76.0,12 nm,,No,B&H Photo Video,https://www.bhphotovideo.com/c/product/1484054-REG/amd_yd297xazafwof_ryzen_threadripper_2970wx_processor.html/BI/21936/KBID/28297,Out of Stock,1274.95
AMD Ryzen Threadripper 2970WX,AMD,YD297XAZAFWOF,24.0,48.0,3000.0,4.2,sTR4,250.0,76.0,12 nm,,No,Adorama,https://adorama.rfvk.net/c/2632153/1175784/1036?prodsku=AMD7XAZAFWOF&u=https%3A%2F%2Fwww.adorama.com%2Famd7xazafwof.html&intsrc=CATF_9102,Out of Stock,1299.0
AMD Ryzen Threadripper 2970WX,AMD,YD297XAZAFWOF,24.0,48.0,3000.0,4.2,sTR4,250.0,76.0,12 nm,,No,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16819113546%26ignorebbr%3d1,Out of Stock,1299.99
AMD Ryzen Threadripper 2970WX,AMD,YD297XAZAFWOF,24.0,48.0,3000.0,4.2,sTR4,250.0,76.0,12 nm,,No,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIAD6HKGE6033%26ignorebbr%3d1,Out of Stock,3465.16
AMD Ryzen Threadripper 2990WX,AMD,YD299XAZAFWOF,32.0,64.0,3000.0,4.2,sTR4,250.0,80.0,12 nm,,No,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIATJ1HWX2651%26ignorebbr%3d1,Out of Stock,1247.09
AMD Ryzen Threadripper 2990WX,AMD,YD299XAZAFWOF,32.0,64.0,3000.0,4.2,sTR4,250.0,80.0,12 nm,,No,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16819113541%26ignorebbr%3d1,Out of Stock,1379.99
AMD Ryzen Threadripper 2990WX,AMD,YD299XAZAFWOF,32.0,64.0,3000.0,4.2,sTR4,250.0,80.0,12 nm,,No,Adorama,https://adorama.rfvk.net/c/2632153/29622/1036?prodsku=AMDYD299FWOF&u=https%3A%2F%2Fwww.adorama.com%2FAMDYD299FWOF.html&intsrc=CATF_230,Out of Stock,1799.0
AMD Ryzen Threadripper 2990WX,AMD,YD299XAZAFWOF,32.0,64.0,3000.0,4.2,sTR4,250.0,80.0,12 nm,,No,B&H Photo Video,https://www.bhphotovideo.com/c/product/1429404-REG/amd_yd299xazafwof_ryzen_threadripper_2990wx_32_core.html/BI/21936/KBID/28297,Out of Stock,2999.99
AMD Ryzen Threadripper 3960X,AMD,100-100000010WOF,24.0,48.0,4.5,4500.0,sTRX4,280.0,128.0,7 nm,,No,Amazon.com,https://www.amazon.com/dp/B0815JGCXP?tag=pangoly0b-20,In Stock,1150.0
AMD Ryzen Threadripper 3970X,AMD,100-100000011WOF,32.0,64.0,4.5,4500.0,sTRX4,280.0,128.0,7 nm,,No,Amazon.com,https://www.amazon.com/dp/B0815JJQQ8?tag=pangoly0b-20,In Stock,1699.99
AMD Ryzen Threadripper 3970X,AMD,100-100000011WOF,32.0,64.0,4.5,4500.0,sTRX4,280.0,128.0,7 nm,,No,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIBWFCKNK3459%26ignorebbr%3d1,In Stock,2499.0
AMD Ryzen Threadripper 3990X,AMD,100-100000163WOF,64.0,128.0,2900.0,3.0,sTRX4,280.0,288.0,7 nm,,No,Amazon.com,https://www.amazon.com/dp/B0815SBQ9W?tag=pangoly0b-20,In Stock,2499.99
AMD Ryzen Threadripper 7960X,AMD,100-100001352WOF,24.0,48.0,4200.0,5.3,sTR5,350.0,152.0,5 nm,,No,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIA24GK8C8694%26ignorebbr%3d1,In Stock,1327.99
AMD Ryzen Threadripper 7960X,AMD,100-100001352WOF,24.0,48.0,4200.0,5.3,sTR5,350.0,152.0,5 nm,,No,B&H Photo Video,https://www.bhphotovideo.com/c/product/1791044-REG/amd_100_100001352wof_ryzen_threadripper_7960x_processor.html/BI/21936/KBID/28297,In Stock,1499.0
AMD Ryzen Threadripper 7970X,AMD,100-100001351WOF,32.0,64.0,4000.0,5.3,sTR5,350.0,160.0,5 nm,,No,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16819113806%26ignorebbr%3d1,Out of Stock,2149.0
AMD Ryzen Threadripper 7970X,AMD,100-100001351WOF,32.0,64.0,4000.0,5.3,sTR5,350.0,160.0,5 nm,,No,B&H Photo Video,https://www.bhphotovideo.com/c/product/1791043-REG/amd_100_100001351wof_ryzen_threadripper_7970x_processor.html/BI/21936/KBID/28297,In Stock,2291.99
AMD Ryzen Threadripper 7970X,AMD,100-100001351WOF,32.0,64.0,4000.0,5.3,sTR5,350.0,160.0,5 nm,,No,Amazon.com,https://www.amazon.com/dp/B0CK2W3WFP?tag=pangoly0b-20,Out of Stock,2291.99
AMD Ryzen Threadripper 7970X,AMD,100-100001351WOF,32.0,64.0,4000.0,5.3,sTR5,350.0,160.0,5 nm,,No,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIASGMKM37344%26ignorebbr%3d1,In Stock,2329.99
AMD Ryzen Threadripper 7980X,AMD,100-100001350WOF,64.0,128.0,3200.0,5.1,sTR5,350.0,320.0,5 nm,,No,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIAVH0KFZ8342%26ignorebbr%3d1,In Stock,4646.0
AMD Ryzen Threadripper 7980X,AMD,100-100001350WOF,64.0,128.0,3200.0,5.1,sTR5,350.0,320.0,5 nm,,No,Amazon.com,https://www.amazon.com/dp/B0CK2R6DVS?tag=pangoly0b-20,In Stock,4782.99
AMD Ryzen Threadripper 7980X,AMD,100-100001350WOF,64.0,128.0,3200.0,5.1,sTR5,350.0,320.0,5 nm,,No,B&H Photo Video,https://www.bhphotovideo.com/c/product/1791042-REG/amd_100_100001350wof_ryzen_threadripper_7980x_processor.html/BI/21936/KBID/28297,In Stock,4782.99
AMD Ryzen Threadripper 7980X,AMD,100-100001350WOF,64.0,128.0,3200.0,5.1,sTR5,350.0,320.0,5 nm,,No,BestBuy,https://bestbuy.7tiv.net/c/2632153/2711001/10014?prodsku=11061689&u=https%3A%2F%2Fwww.bestbuy.com%2Fproduct%2Famd-ryzen-threadripper-7980x-desktop-processor-64-cpu-cores-128-threads-256-mb-l3-cache-up-to-5-1ghz-boost-clock%2FJXKQHH5332&intsrc=CATF_21610,In Stock,4914.63
AMD Ryzen Threadripper 7980X,AMD,100-100001350WOF,64.0,128.0,3200.0,5.1,sTR5,350.0,320.0,5 nm,,No,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16819113808%26ignorebbr%3d1,In Stock,5305.0
AMD Ryzen Threadripper 9960X,AMD,100-100001595WOF,24.0,48.0,4200.0,5400.0,sTR5,350.0,128.0,4 nm,,No,BestBuy,https://bestbuy.7tiv.net/c/2632153/2711001/10014?prodsku=10938646&u=https%3A%2F%2Fwww.bestbuy.com%2Fproduct%2Famd-ryzen-threadripper-9960x-24-core-48-thread-4-2-ghz-5-4-ghz-max-boost-socket-str5-unlocked-desktop-processor-black%2FJXKQHH5L23&intsrc=CATF_21610,In Stock,1463.16
