Name,Brand,GPU Brand,GPU Series,GPU Chipset,Model,Memory Size,Memory Type,Base Clock,Boost Clock,TDP,Interface,Length,Cooling Type,Power Connectors,SLI Support,CrossFire Support,DisplayPort,HDMI,G-SYNC Support,FreeSync Support,Expansion Slots,Release Date,Price,Rating,Reviews,Availability,List_Price,URL,Product_ID,Page
MSI GeForce RTX 5050 8G VENTUS 2X OC53rd / 101,Msi,NVIDIA,RTX 5050,GeForce RTX 5050,RTX 5050 8G VENTUS 2X OC,8 GB,GDDR6,2317 MHz,2617 MHz,130 W,PCIe x16,197 mm,2 Fans,1 PCIe 8-pin,No,No,3,1,Yes,No,2,"July 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$270,https://pangoly.com/en/product/msi-geforce-rtx-5050-8g-ventus-2x-oc,a4b5433e-f36b-1410-8c08-003fe7c988bc,1
ASUS Prime GeForce RTX 5050 OC Edition53rd / 101,Asus,NVIDIA,RTX 5050,GeForce RTX 5050,prime-rtx5050-o8g,8 GB,GDDR6,2317 MHz,2707 MHz,130 W,PCIe x16,268 mm,3 Fans,1 PCIe 8-pin,No,No,3,1,Yes,No,2,"July 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$290,https://pangoly.com/en/product/asus-prime-geforce-rtx-5050-oc-edition,50b5433e-f36b-1410-8c08-003fe7c988bc,1
Zotac GeForce RTX 5050 Twin Edge53rd / 101,Zotac,NVIDIA,RTX 5050,GeForce RTX 5050,ZT-B50500E-10M,8 GB,GDDR6,2317 MHz,2572 MHz,130 W,PCIe x16,220 mm,2 Fans,1 PCIe 8-pin,No,No,3,1,Yes,No,2,"July 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,Out of Stock,$260,https://pangoly.com/en/product/zotac-geforce-rtx-5050-twin-edge,9cb5433e-f36b-1410-8c08-003fe7c988bc,2
Zotac GeForce RTX 5050 Twin Edge OC White53rd / 101,Zotac,NVIDIA,RTX 5050,GeForce RTX 5050,ZT-B50500Q-10M,8 GB,GDDR6,2317 MHz,2602 MHz,130 W,PCIe x16,220 mm,2 Fans,1 PCIe 8-pin,No,No,3,1,Yes,No,2,"July 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,Out of Stock,$260,https://pangoly.com/en/product/zotac-geforce-rtx-5050-twin-edge-oc-white,92b5433e-f36b-1410-8c08-003fe7c988bc,2
GIGABYTE AORUS GeForce RTX 5090 Stealth ICE 32G1st / 101,Gigabyte,NVIDIA,RTX 5090,GeForce RTX 5090,GV-N5090AORUSST ICE-32GD,32 GB,GDDR7,2010 MHz,2655 MHz,575 W,PCIe x16,360 mm,3 Fans,1 PCIe 16-pin,No,No,3,1,Yes,No,3,"June 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$4199,https://pangoly.com/en/product/gigabyte-aorus-geforce-rtx-5090-stealth-ice-32g,1e144ba5-aa1e-40bc-c726-08de00318317,2
PowerColor Reaper Radeon RX 9060 XT 8GB,Powercolor,AMD,,Radeon RX 9060 XT 8GB,RX9060XT 8G-A,8 GB,GDDR6,2220 MHz,3130 MHz,160 W,PCIe x16,200 mm,2 Fans,1 PCIe 8-pin,No,No,2,1,No,Yes,2,"June 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$270,https://pangoly.com/en/product/powercolor-reaper-radeon-rx-9060-xt-8gb,6246433e-f36b-1410-8c03-003fe7c988bc,2
XFX Swift Radeon RX 9060XT OC 8GB,Xfx,AMD,,Radeon RX 9060 XT 8GB,RX-96TSW8GBQ,8 GB,GDDR6,2220 MHz,3320 MHz,160 W,PCIe x16,270 mm,2 Fans,1 PCIe 8-pin,No,No,2,1,No,Yes,2,"June 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$280,https://pangoly.com/en/product/xfx-swift-radeon-rx-9060xt-oc-8gb,be46433e-f36b-1410-8c03-003fe7c988bc,2
XFX Swift Radeon RX 9060XT OC 8GB White,Xfx,AMD,,,,,,,,,,,,,,,,,,,,,$96,5/5,0,In Stock,$280,https://pangoly.com/en/product/xfx-swift-radeon-rx-9060xt-oc-8gb-white,ce46433e-f36b-1410-8c03-003fe7c988bc,2
ASRock Radeon RX 9060 XT Steel Legend 8GB OC,,AMD,,Radeon RX 9060 XT 8GB,RX9060XT SL 8GO,8 GB,GDDR6,2220 MHz,3320 MHz,160 W,PCIe x16,298 mm,3 Fans,1 PCIe 8-pin,No,No,2,1,No,Yes,2,"June 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$290,https://pangoly.com/en/product/asrock-radeon-rx-9060-xt-steel-legend-8gb-oc,2746433e-f36b-1410-8c03-003fe7c988bc,2
Sapphire Pulse Radeon RX 9060 XT Gaming 8GB,Sapphire,AMD,,Radeon RX 9060 XT 8GB,11350-04-20G,8 GB,GDDR6,2220 MHz,3290 MHz,170 W,PCIe x16,240 mm,2 Fans,1 PCIe 8-pin,No,No,1,2,No,Yes,2,"June 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$300,https://pangoly.com/en/product/sapphire-pulse-radeon-rx-9060-xt-gaming-8gb,9746433e-f36b-1410-8c03-003fe7c988bc,2
Gigabyte Radeon RX 9060 XT Gaming OC 8GB,Gigabyte,AMD,,Radeon RX 9060 XT 8GB,GV-R9060XTGAMING OC-8GD,8 GB,GDDR6,2220 MHz,3320 MHz,160 W,PCIe x16,281 mm,3 Fans,1 PCIe 8-pin,No,No,2,1,No,Yes,2,"June 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$300,https://pangoly.com/en/product/gigabyte-radeon-rx-9060-xt-gaming-oc-8gb,4546433e-f36b-1410-8c03-003fe7c988bc,2
PowerColor Hellhound Radeon RX 9060 XT 8GB,Powercolor,AMD,,Radeon RX 9060 XT 8GB,RX9060XT 8G-L/OC,8 GB,GDDR6,2220 MHz,3310 MHz,160 W,PCIe x16,310 mm,3 Fans,1 PCIe 8-pin,No,No,2,1,No,Yes,2,"June 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$320,https://pangoly.com/en/product/powercolor-hellhound-radeon-rx-9060-xt-8gb,7446433e-f36b-1410-8c03-003fe7c988bc,2
ASRock Radeon RX 9060 XT Challenger 8GB OC,,AMD,,Radeon RX 9060 XT 8GB,RX9060XT CL 8GO,8 GB,GDDR6,2220 MHz,3290 MHz,160 W,PCIe x16,249 mm,2 Fans,1 PCIe 8-pin,No,No,2,1,No,Yes,2,"June 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$320,https://pangoly.com/en/product/asrock-radeon-rx-9060-xt-challenger-8gb-oc,3446433e-f36b-1410-8c03-003fe7c988bc,2
ASUS Dual Radeon RX 9060 XT 8G,Asus,AMD,,Radeon RX 9060 XT 8GB,DUAL-RX9060XT-8G,8 GB,GDDR6,2220 MHz,3150 MHz,160 W,PCIe x16,202 mm,2 Fans,1 PCIe 8-pin,No,No,2,1,No,Yes,2,"June 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$340,https://pangoly.com/en/product/asus-dual-radeon-rx-9060-xt-8g,0c47433e-f36b-1410-8c03-003fe7c988bc,2
PowerColor Reaper Radeon RX 9060 XT 16GB26th / 101,Powercolor,AMD,,Radeon RX 9060 XT,RX9060XT 16G-A,16 GB,GDDR6,2220 MHz,3230 MHz,160 W,PCIe x16,200 mm,2 Fans,1 PCIe 8-pin,No,No,2,1,No,Yes,2,"June 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,4,In Stock,$350,https://pangoly.com/en/product/powercolor-reaper-radeon-rx-9060-xt-16gb,6946433e-f36b-1410-8c03-003fe7c988bc,3
ASRock Radeon RX 9060 XT Challenger 16GB OC26th / 101,,AMD,,Radeon RX 9060 XT,RX9060XT CL 16GO,16 GB,GDDR6,2220 MHz,3290 MHz,160 W,PCIe x16,249 mm,2 Fans,1 PCIe 8-pin,No,No,2,1,No,Yes,2,"June 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$370,https://pangoly.com/en/product/asrock-radeon-rx-9060-xt-challenger-16gb-oc,2246433e-f36b-1410-8c03-003fe7c988bc,3
ASUS Prime Radeon RX 9060 XT 8GB OC Edition,Asus,AMD,,Radeon RX 9060 XT 8GB,PRIME-RX9060XT-O8G,8 GB,GDDR6,2220 MHz,3330 MHz,160 W,PCIe x16,304 mm,3 Fans,1 PCIe 8-pin,No,No,2,1,No,Yes,2,"June 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$380,https://pangoly.com/en/product/asus-prime-radeon-rx-9060-xt-8gb-oc-edition,1747433e-f36b-1410-8c03-003fe7c988bc,3
Sapphire Pulse Radeon RX 9060 XT Gaming 16GB26th / 101,Sapphire,AMD,,Radeon RX 9060 XT,11350-03-20G,16 GB,GDDR6,2220 MHz,3290 MHz,170 W,PCIe x16,240 mm,2 Fans,1 PCIe 8-pin,No,No,1,2,No,Yes,2,"June 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$380,https://pangoly.com/en/product/sapphire-pulse-radeon-rx-9060-xt-gaming-16gb,8a46433e-f36b-1410-8c03-003fe7c988bc,3
XFX Swift Radeon RX 9060 XT OC Triple Fan Gamin...26th / 101,Xfx,AMD,,Radeon RX 9060 XT,RX-96TS316B7,16 GB,GDDR6,2220 MHz,3320 MHz,160 W,PCIe x16,290 mm,3 Fans,1 PCIe 8-pin,No,No,2,1,No,Yes,2,"June 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$380,https://pangoly.com/en/product/xfx-swift-radeon-rx-9060-xt-oc-triple-fan-gaming-edition-16gb,f746433e-f36b-1410-8c03-003fe7c988bc,3
XFX Swift Radeon RX 9060 XT OC White Triple Fan...26th / 101,Xfx,AMD,,,,,,,,,,,,,,,,,,,,,$96,5/5,0,In Stock,$380,https://pangoly.com/en/product/xfx-swift-radeon-rx-9060-xt-oc-white-triple-fan-gaming-edition-16gb,0647433e-f36b-1410-8c03-003fe7c988bc,3
XFX Mercury Radeon RX 9060 XT OC Gaming Edition...26th / 101,Xfx,AMD,,Radeon RX 9060 XT,RX-96TMERCB9,16 GB,GDDR6,2220 MHz,3320 MHz,160 W,PCIe x16,320 mm,3 Fans,1 PCIe 8-pin,No,No,2,1,No,Yes,2,"June 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$380,https://pangoly.com/en/product/xfx-mercury-radeon-rx-9060-xt-oc-gaming-edition-16gb,ad46433e-f36b-1410-8c03-003fe7c988bc,3
Gigabyte Radeon RX 9060 XT Gaming OC 16GB26th / 101,Gigabyte,AMD,,Radeon RX 9060 XT,GV-R9060XTGAMING OC-16GD,16 GB,GDDR6,2220 MHz,3320 MHz,160 W,PCIe x16,281 mm,3 Fans,1 PCIe 8-pin,No,No,2,1,No,Yes,2,"June 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,2,In Stock,$390,https://pangoly.com/en/product/gigabyte-radeon-rx-9060-xt-gaming-oc-16gb,5c46433e-f36b-1410-8c03-003fe7c988bc,3
ASRock Radeon RX 9060 XT Steel Legend 16GB OC26th / 101,,AMD,,Radeon RX 9060 XT,RX9060XT SL 16GO,16 GB,GDDR6,2220 MHz,3320 MHz,160 W,PCIe x16,298 mm,3 Fans,1 PCIe 8-pin,No,No,2,1,No,Yes,2,"June 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,2,In Stock,$390,https://pangoly.com/en/product/asrock-radeon-rx-9060-xt-steel-legend-16gb-oc,1c46433e-f36b-1410-8c03-003fe7c988bc,3
PowerColor Hellhound Spectral White Radeon RX 9...26th / 101,Powercolor,AMD,,Radeon RX 9060 XT,RX9060XT 16G-L/OC/WHITE,16 GB,GDDR6,2220 MHz,3310 MHz,160 W,PCIe x16,310 mm,3 Fans,1 PCIe 8-pin,No,No,2,1,No,Yes,2,"June 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$400,https://pangoly.com/en/product/powercolor-hellhound-spectral-white-radeon-rx-9060-xt-16gb,8246433e-f36b-1410-8c03-003fe7c988bc,3
ASUS Prime Radeon RX 9060 XT 16GB OC Edition26th / 101,Asus,AMD,,Radeon RX 9060 XT,PRIME-RX9060XT-O16G90YV0LF1-M0NA00,16 GB,GDDR6,2220 MHz,3330 MHz,160 W,PCIe x16,304 mm,3 Fans,1 PCIe 8-pin,No,No,2,1,No,Yes,2,"June 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$440,https://pangoly.com/en/product/asus-prime-radeon-rx-9060-xt-16gb-oc-edition,1b47433e-f36b-1410-8c03-003fe7c988bc,3
ASUS TUF Gaming Radeon RX 9060 XT 16GB OC Edition26th / 101,Asus,AMD,,Radeon RX 9060 XT,TUF-RX9060XT-O16G-GAMING,16 GB,GDDR6,2220 MHz,3340 MHz,160 W,PCIe x16,304 mm,3 Fans,1 PCIe 8-pin,No,No,2,1,No,Yes,2,"June 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$480,https://pangoly.com/en/product/asus-tuf-gaming-radeon-rx-9060-xt-16gb-oc-edition,2247433e-f36b-1410-8c03-003fe7c988bc,3
GIGABYTE Radeon RX 9060 XT GAMING 16G26th / 101,Gigabyte,AMD,,Radeon RX 9060 XT,GV-R9060XTGAMING-16GD,16 GB,GDDR6,2220 MHz,3230 MHz,160 W,PCIe x16,281 mm,3 Fans,1 PCIe 8-pin,No,No,2,1,No,Yes,2,"June 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$524,https://pangoly.com/en/product/gigabyte-radeon-rx-9060-xt-gaming-16g,5346433e-f36b-1410-8c03-003fe7c988bc,4
GIGABYTE Radeon RX 9060 XT GAMING 8G,Gigabyte,AMD,,Radeon RX 9060 XT 8GB,GV-R9060XTGAMING-8GD,8 GB,GDDR6,2220 MHz,3130 MHz,160 W,PCIe x16,281 mm,3 Fans,1 PCIe 8-pin,No,No,2,1,No,Yes,2,"June 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,Out of Stock,$300,https://pangoly.com/en/product/gigabyte-radeon-rx-9060-xt-gaming-8g,3c46433e-f36b-1410-8c03-003fe7c988bc,4
PowerColor Hellhound Radeon RX 9060 XT 16GB26th / 101,Powercolor,AMD,,Radeon RX 9060 XT,RX9060XT 16G-L/OC,16 GB,GDDR6,2220 MHz,3310 MHz,160 W,PCIe x16,310 mm,3 Fans,1 PCIe 8-pin,No,No,2,1,No,Yes,2,"June 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,Out of Stock,$390,https://pangoly.com/en/product/powercolor-hellhound-radeon-rx-9060-xt-16gb,7a46433e-f36b-1410-8c03-003fe7c988bc,4
XFX Swift Radeon RX 9060XT OC 16GB26th / 101,Xfx,AMD,,Radeon RX 9060 XT,RX-96TSW16BQ,16 GB,GDDR6,2220 MHz,3320 MHz,160 W,PCIe x16,270 mm,2 Fans,1 PCIe 8-pin,No,No,2,1,No,Yes,2,"June 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,Out of Stock,$400,https://pangoly.com/en/product/xfx-swift-radeon-rx-9060xt-oc-16gb,ed46433e-f36b-1410-8c03-003fe7c988bc,4
Sapphire Nitro+ Radeon RX 9060 XT Gaming 16GB26th / 101,Sapphire,AMD,,Radeon RX 9060 XT,11350-01-20G,16 GB,GDDR6,2220 MHz,3320 MHz,182 W,PCIe x16,300 mm,3 Fans,1 PCIe 8-pin,No,No,1,2,No,Yes,2,"June 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,1,Out of Stock,$400,https://pangoly.com/en/product/sapphire-nitro-radeon-rx-9060-xt-gaming-16gb,a546433e-f36b-1410-8c03-003fe7c988bc,4
XFX Mercury Radeon RX 9060 XT OC Gaming Edition...26th / 101,Xfx,AMD,,Radeon RX 9060 XT,RX-96TMERCBA,16 GB,GDDR6,2220 MHz,3320 MHz,160 W,PCIe x16,320 mm,3 Fans,1 PCIe 8-pin,No,No,2,1,No,Yes,2,"June 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,Out of Stock,$420,https://pangoly.com/en/product/xfx-mercury-radeon-rx-9060-xt-oc-gaming-edition-16gb-rx-96tmercba,b546433e-f36b-1410-8c03-003fe7c988bc,4
ASUS ROG Strix GeForce RTX 5070 OC Edition15th / 101,Asus,NVIDIA,RTX 5070,,,,,,,,,,,,,,,,,,,,$96,5/5,0,In Stock,$755,https://pangoly.com/en/product/asus-rog-strix-geforce-rtx-5070-oc-edition,90581081-224b-4d3e-abfd-08ddcaa420da,4
PNY GeForce RTX 5060 Dual Fan OC33rd / 101,Pny,NVIDIA,RTX 5060,GeForce RTX 5060,VCG50608DFXPB1-O,8 GB,GDDR7,2280 MHz,2535 MHz,145 W,PCIe x16,200 mm,2 Fans,1 PCIe 8-pin,No,No,3,1,Yes,No,2,"May 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$300,https://pangoly.com/en/product/pny-geforce-rtx-5060-dual-fan-oc,5cc0433e-f36b-1410-8c02-003fe7c988bc,4
MSI GeForce RTX 5060 8G SHADOW 2X OC33rd / 101,Msi,NVIDIA,RTX 5060,GeForce RTX 5060,RTX 5060 8G SHADOW 2X OCG5060-8S2C,8 GB,GDDR7,2280 MHz,2535 MHz,155 W,PCIe x16,197 mm,2 Fans,1 PCIe 8-pin,No,No,3,1,Yes,No,2,"May 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$300,https://pangoly.com/en/product/msi-geforce-rtx-5060-8g-shadow-2x-oc,fbbf433e-f36b-1410-8c02-003fe7c988bc,4
ASUS Prime GeForce RTX 506033rd / 101,Asus,NVIDIA,RTX 5060,GeForce RTX 5060,prime-rtx5060-8g,8 GB,GDDR7,2280 MHz,2527 MHz,145 W,PCIe x16,268 mm,3 Fans,1 PCIe 8-pin,No,No,3,1,Yes,No,2,"May 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$300,https://pangoly.com/en/product/asus-prime-geforce-rtx-5060,61bf433e-f36b-1410-8c02-003fe7c988bc,4
Gigabyte GeForce RTX 5060 WINDFORCE OC33rd / 101,Gigabyte,NVIDIA,RTX 5060,GeForce RTX 5060,GV-N5060WF2OC-8GD,8 GB,GDDR7,2280 MHz,2512 MHz,145 W,PCIe x16,199 mm,2 Fans,1 PCIe 8-pin,No,No,3,1,Yes,No,2,"May 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$300,https://pangoly.com/en/product/gigabyte-geforce-rtx-5060-windforce-oc,05bf433e-f36b-1410-8c02-003fe7c988bc,4
Gigabyte GeForce RTX 5060 WINDFORCE33rd / 101,Gigabyte,NVIDIA,RTX 5060,GeForce RTX 5060,GV-N5060WF2-8GD,8 GB,GDDR7,2280 MHz,2497 MHz,145 W,PCIe x16,199 mm,2 Fans,1 PCIe 8-pin,No,No,3,1,Yes,No,2,"May 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$300,https://pangoly.com/en/product/gigabyte-geforce-rtx-5060-windforce,3bbf433e-f36b-1410-8c02-003fe7c988bc,4
ZOTAC GeForce RTX 5060 SOLO33rd / 101,Zotac,NVIDIA,RTX 5060,GeForce RTX 5060,ZT-B50600G-10L,8 GB,GDDR7,2280 MHz,2497 MHz,145 W,PCIe x16,164 mm,1 Fan,1 PCIe 8-pin,No,No,3,1,Yes,No,2,"May 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$300,https://pangoly.com/en/product/zotac-geforce-rtx-5060-solo,4cc0433e-f36b-1410-8c02-003fe7c988bc,5
ASUS DUAL GeForce RTX 5060 OC Edition33rd / 101,Asus,NVIDIA,RTX 5060,GeForce RTX 5060,dual-rtx5060-o8g,8 GB,GDDR7,2280 MHz,2565 MHz,145 W,PCIe x16,228 mm,2 Fans,1 PCIe 8-pin,No,No,3,1,Yes,No,2,"May 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$300,https://pangoly.com/en/product/asus-dual-geforce-rtx-5060-oc-edition,89bf433e-f36b-1410-8c02-003fe7c988bc,5
MSI GeForce RTX 5060 8GB GAMING OC33rd / 101,Msi,NVIDIA,RTX 5060,GeForce RTX 5060,RTX 5060 8G GAMING OCG5060-8GC,8 GB,GDDR7,2280 MHz,2640 MHz,155 W,PCIe x16,248 mm,2 Fans,1 PCIe 8-pin,No,No,3,1,Yes,No,2,"May 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$300,https://pangoly.com/en/product/msi-geforce-rtx-5060-8gb-gaming-oc,c7bf433e-f36b-1410-8c02-003fe7c988bc,5
ZOTAC GeForce RTX 5060 TWIN EDGE OC33rd / 101,Zotac,NVIDIA,RTX 5060,GeForce RTX 5060,ZT-B50600H-10M,8 GB,GDDR7,2280 MHz,2527 MHz,145 W,PCIe x16,220 mm,2 Fans,1 PCIe 8-pin,No,No,3,1,Yes,No,2,"May 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$300,https://pangoly.com/en/product/zotac-geforce-rtx-5060-twin-edge-oc,45c0433e-f36b-1410-8c02-003fe7c988bc,5
MSI GeForce RTX 5060 8GB VENTUS 2X OC33rd / 101,Msi,NVIDIA,RTX 5060,GeForce RTX 5060,RTX 5060 8G VENTUS 2X OCG5060-8V2C,8 GB,GDDR7,2280 MHz,2535 MHz,145 W,PCIe x16,197 mm,2 Fans,1 PCIe 8-pin,No,No,3,1,Yes,No,2,"May 2025* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$310,https://pangoly.com/en/product/msi-geforce-rtx-5060-8gb-ventus-2x-oc,12c0433e-f36b-1410-8c02-003fe7c988bc,5
