Name,Brand,Model,Type,Size,Kit Configuration,Speed,CAS Latency,Timing,First Word Latency,Voltage,Heat Spreader,ECC Support,Color,Release Date,Price,Rating,Reviews,Availability,List_Price,URL,Product_ID,Page
Team XTREEM 48GB (2 x 24GB) DDR5 8400,,FFXD548G8400HC42BDC-CU01,DDR5,48GB,,DDR5-8400 MHz,42,42-54-54-84,10 ns,1.4 V,Yes,No,Black,"December 2024* First availability for purchase, it may not correspond to the actual market launch date.",$300,5/5,1,In Stock,$360,https://pangoly.com/en/product/team-xtreem-48gb-2-x-24gb-ddr5-8400,876de223-5643-4b0e-2b9e-08dd2f29bd6c,1
CORSAIR Vengeance RGB 48GB (2 x 24GB) DDR5 8000,Corsair,CMHC48GX5M2X8000C38,DDR5,48GB,,DDR5-8000 MHz,38,38-50-50-128,9.5 ns,1.4 V,Yes,No,RGB,"November 2024* First availability for purchase, it may not correspond to the actual market launch date.",$96,5/5,0,In Stock,$390,https://pangoly.com/en/product/corsair-vengeance-rgb-48gb-2-x-24gb-ddr5-8000,de76a0a7-fb7f-4c31-2ba7-08dd2f29bd6c,1
CORSAIR Vengeance RGB 32GB (2x16GB) DDR5 6000MH...,Corsair,CMH32GX5M2E6000Z36W,DDR5,32GB,2x16gb,DDR6000 MHz,36,36-44-44-96,12 ns,1.4 V,Yes,No,RGB,"November 2024* First availability for purchase, it may not correspond to the actual market launch date.",$119,5/5,0,In Stock,$184,https://pangoly.com/en/product/corsair-vengeance-rgb-32gb-2x16gb-ddr5-6000mhz-white-cl36,d8e2c39c-3e35-4fce-c4de-08dd6ba34a3d,2
CORSAIR Vengeance RGB 64GB (2x32GB) DDR5 6000MH...,Corsair,CMH64GX5M2B6000Z30W,DDR5,64GB,2x32gb,DDR6000 MHz,30,30-36-36-76,10 ns,1.4 V,Yes,No,RGB,"November 2024* First availability for purchase, it may not correspond to the actual market launch date.",$240,5/5,1,In Stock,$369,https://pangoly.com/en/product/corsair-vengeance-rgb-64gb-2x32gb-ddr5-6000mhz-white-cl30,69cb4c80-a9d2-4290-c4dc-08dd6ba34a3d,2
Lexar Ares RGB 2nd Gen 48GB (2x24GB) DDR5 8000,,,DDR5,48GB,2x24gb,,40,,,,,,,,$185,5/5,0,In Stock,$220,https://pangoly.com/en/product/lexar-ares-rgb-2nd-gen-48gb-2x24gb-ddr5-8000,3b525e78-80ac-458a-aca1-08ddb48bbd3f,2
Kingston Fury Renegade 48GB (2 x 24GB) DDR5 840...,Kingston,KF584CU40RWK2-48,DDR5,48GB,,DDR5-8400 MHz,40,40-52-52-131,9.52 ns,1.45 V,No,No,Silver/White,"November 2024* First availability for purchase, it may not correspond to the actual market launch date.",$320,5/5,0,In Stock,$388,https://pangoly.com/en/product/kingston-fury-renegade-48gb-2-x-24gb-ddr5-8400-white,180be296-a3d2-4c3d-2ba8-08dd2f29bd6c,2
Kingston Fury Renegade 48GB (2 x 24GB) DDR5 8400,Kingston,KF584CU40RSK2-48,DDR5,48GB,,DDR5-8400 MHz,40,40-52-52-131,9.52 ns,1.45 V,No,No,Silver/Black,"November 2024* First availability for purchase, it may not correspond to the actual market launch date.",$320,5/5,0,In Stock,$388,https://pangoly.com/en/product/kingston-fury-renegade-48gb-2-x-24gb-ddr5-8400,4e95a4ad-7bae-475a-2bab-08dd2f29bd6c,2
Kingston Fury Renegade RGB 48GB (2 x 24GB) DDR5...,Kingston,KF584CU40RSAK2-48,DDR5,48GB,,DDR5-8400 MHz,40,40-52-52-131,9.52 ns,1.45 V,No,No,RGB,"November 2024* First availability for purchase, it may not correspond to the actual market launch date.",$320,5/5,0,In Stock,$395,https://pangoly.com/en/product/kingston-fury-renegade-rgb-48gb-2-x-24gb-ddr5-8400,54030ac5-c0c5-493d-2baa-08dd2f29bd6c,2
Kingston Fury Renegade RGB 48GB (2 x 24GB) DDR5...,Kingston,KF584CU40RWAK2-48,DDR5,48GB,,DDR5-8400 MHz,40,40-52-52-131,9.52 ns,1.45 V,No,No,RGB,"November 2024* First availability for purchase, it may not correspond to the actual market launch date.",$320,5/5,0,In Stock,$395,https://pangoly.com/en/product/kingston-fury-renegade-rgb-48gb-2-x-24gb-ddr5-8400-white,591aa082-34f2-4943-2ba9-08dd2f29bd6c,2
Crucial Pro 32GB (2x16GB) DDR5 6400MHz,Crucial,,DDR5,32GB,2x16gb,DDR6400 MHz,38,,,,,,,,$124,5/5,20,In Stock,$126,https://pangoly.com/en/product/crucial-pro-32gb-2x16gb-ddr5-6400mhz,a017fda9-06e0-4552-1f7f-08dcf5001470,2
Crucial Pro 32GB (2x16GB) DDR5 6400MHz White,Crucial,,DDR5,32GB,2x16gb,DDR6400 MHz,38,,,,,,,,$124,5/5,20,In Stock,$137,https://pangoly.com/en/product/crucial-pro-32gb-2x16gb-ddr5-6400mhz-white,1ac29039-f1ca-4ae8-1f80-08dcf5001470,2
CORSAIR Vengeance RGB 48GB (2x24GB) DDR5 6000MH...,Corsair,,DDR5,48GB,2x24gb,DDR6000 MHz,30,,,,,,,,$185,5/5,0,In Stock,$270,https://pangoly.com/en/product/corsair-vengeance-rgb-48gb-2x24gb-ddr5-6000mhz-cl30,7ddeeac0-e12c-4593-c4dd-08dd6ba34a3d,2
G.SKILL Trident Z5 CK 48GB (2 x 24GB) DDR5 8200,G.Skill,F5-8200C4052G24GX2-TZ5CK,DDR5,48GB,,DDR5-8200 MHz,40,40-52-52-131,9.75 ns,1.4 V,Yes,No,Black,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$310,5/5,0,In Stock,$300,https://pangoly.com/en/product/g-skill-trident-z5-ck-48gb-2-x-24gb-ddr5-8200,a6549195-6fcb-4cec-2ba2-08dd2f29bd6c,2
G.SKILL Trident Z5 CK RGB 48GB (2 x 24GB) DDR5 ...,G.Skill,,DDR5,48GB,,,,,,,,,,,$300,5/5,0,In Stock,$310,https://pangoly.com/en/product/g-skill-trident-z5-ck-rgb-48gb-2-x-24gb-ddr5-8200,6d516fa8-9afd-43fa-2ba3-08dd2f29bd6c,2
G.SKILL Trident Z5 CK 48GB (2 x 24GB) DDR5 8400,G.Skill,F5-8400C4052G24GX2-TZ5CK,DDR5,48GB,,DDR5-8400 MHz,40,40-52-52-134,9.52 ns,1.4 V,Yes,No,Black,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$330,5/5,0,In Stock,$320,https://pangoly.com/en/product/g-skill-trident-z5-ck-48gb-2-x-24gb-ddr5-8400,01765e7f-41d8-4bab-2ba6-08dd2f29bd6c,3
G.SKILL Trident Z5 CK RGB 48GB (2 x 24GB) DDR5 ...,G.Skill,,DDR5,48GB,,,,,,,,,,,$320,5/5,1,In Stock,$330,https://pangoly.com/en/product/g-skill-trident-z5-ck-rgb-48gb-2-x-24gb-ddr5-8400,42f7934a-46ed-48ad-2ba5-08dd2f29bd6c,3
G.SKILL Trident Z5 CK 48GB (2 x 24GB) DDR5 8800,G.Skill,F5-8800C4255H24GX2-TZ5CK,DDR5,48GB,,DDR5-8800 MHz,42,42-55-55-140,9.54 ns,1.45 V,Yes,No,Black,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$320,5/5,1,In Stock,$350,https://pangoly.com/en/product/g-skill-trident-z5-ck-48gb-2-x-24gb-ddr5-8800,d350e937-c866-43f1-2ba1-08dd2f29bd6c,3
G.SKILL Trident Z5 CK RGB 48GB (2 x 24GB) DDR5 ...,G.Skill,F5-8800C4255H24GX2-TZ5CRK,DDR5,48GB,,DDR5-8800 MHz,42,42-55-55-140,9.54 ns,1.45 V,Yes,No,RGB,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$320,5/5,0,In Stock,$360,https://pangoly.com/en/product/g-skill-trident-z5-ck-rgb-48gb-2-x-24gb-ddr5-8800,2dfe97cf-3a47-471f-2ba4-08dd2f29bd6c,3
Team XTREEM 48GB (2 x 24GB) DDR5 8800,,FXD548G8800HC42ADC-CU01,DDR5,48GB,,DDR5-8800 MHz,42,42-54-54-96,9.55 ns,1.45 V,Yes,No,Black,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$320,5/5,1,In Stock,$370,https://pangoly.com/en/product/team-xtreem-48gb-2-x-24gb-ddr5-8800,4c1e3a2f-0633-4d36-2b9f-08dd2f29bd6c,3
G.SKILL Trident Z5 CK 48GB (2 x 24GB) DDR5 9600,G.Skill,F5-9600C4658H24GX2-TZ5CK,DDR5,48GB,,DDR5-9600 MHz,46,46-58-58-153,9.58 ns,1.45 V,Yes,No,Black,"October 2024* First availability for purchase, it may not correspond to the actual market launch date.",$320,5/5,2,Out of Stock,$380,https://pangoly.com/en/product/g-skill-trident-z5-ck-48gb-2-x-24gb-ddr5-9600,819ddb27-202a-47ba-2ba0-08dd2f29bd6c,3
CORSAIR Vengeance RGB 32GB (2x16GB) DDR5 6000MH...,Corsair,CMH32GX5M2B6000Z28,DDR5,32GB,2x16gb,DDR6000 MHz,28,32-40-40-84,10 ns,1.4 V,Yes,No,RGB,"September 2024* First availability for purchase, it may not correspond to the actual market launch date.",$138,5/5,1,In Stock,$167,https://pangoly.com/en/product/corsair-vengeance-rgb-32gb-2x16gb-ddr5-6000mhz-cl28,27298553-190d-4461-5338-08dd46d51e7b,3
CORSAIR Vengeance 32GB (2x16GB) DDR5 6000MHz CL28,Corsair,CMK32GX5M2B6000Z28,DDR5,32GB,2x16gb,DDR6000 MHz,28,28-36-36-96,9.33 ns,1.4 V,Yes,No,Gray,"September 2024* First availability for purchase, it may not correspond to the actual market launch date.",$173,5/5,0,In Stock,$233,https://pangoly.com/en/product/corsair-vengeance-32gb-2x16gb-ddr5-6000mhz-cl28,62bbb31c-7071-4fb9-fe81-08dd10f7256e,3
CORSAIR Vengeance DDR5 32GB (2x16GB) DDR5 6400MHz,Corsair,CMK32GX5M2B6400Z32,DDR5,32GB,2x16gb,DDR6400 MHz,32,32-40-40-84,10 ns,1.4 V,Yes,No,Gray,"August 2024* First availability for purchase, it may not correspond to the actual market launch date.",$138,5/5,0,In Stock,$182,https://pangoly.com/en/product/corsair-vengeance-ddr5-32gb-2x16gb-ddr5-6400mhz,29aa7187-bcd0-476a-c4d0-08dd6ba34a3d,3
CORSAIR Vengeance 48GB (2x24GB) DDR5 6000MHz WHite,Corsair,CMK48GX5M2B6000C30W,DDR5,48GB,2x24gb,DDR6000 MHz,30,30-36-36-76,10 ns,1.4 V,Yes,No,White,"August 2024* First availability for purchase, it may not correspond to the actual market launch date.",$185,5/5,0,In Stock,$228,https://pangoly.com/en/product/corsair-vengeance-48gb-2x24gb-ddr5-6000mhz-white,db54653a-c432-4311-aca2-08ddb48bbd3f,3
CORSAIR Vengeance DDR5 48GB (2x24GB) DDR5 6000MHz,Corsair,,DDR5,48GB,2x24gb,DDR6000 MHz,30,,,,,,,,$185,5/5,0,In Stock,$228,https://pangoly.com/en/product/corsair-vengeance-ddr5-48gb-2x24gb-ddr5-6000mhz,ce0a6e7a-2658-45c2-c4cb-08dd6ba34a3d,3
CORSAIR Vengeance 96GB (2x48GB) DDR5 6000MHz CL30,Corsair,CMK96GX5M2B6000Z30,DDR5,96GB,2x48gb,DDR6000 MHz,30,30-36-36-76,10 ns,1.4 V,Yes,No,Black,"August 2024* First availability for purchase, it may not correspond to the actual market launch date.",$340,5/5,0,In Stock,$505,https://pangoly.com/en/product/corsair-vengeance-96gb-2x48gb-ddr5-6000mhz-cl30,4020024c-8ad0-4769-d584-08dcd267c54e,3
CORSAIR Dominator Titanium RGB 96GB (2x48GB) DD...,Corsair,CMP96GX5M2B7000C40,DDR5,96GB,2x48gb,DDR7000 MHz,40,40-52-52-114,11.42 ns,1.4 V,Yes,No,RGB,"August 2024* First availability for purchase, it may not correspond to the actual market launch date.",$340,5/5,2,In Stock,$518,https://pangoly.com/en/product/corsair-dominator-titanium-rgb-96gb-2x48gb-ddr5-7000mhz,61e18637-1ee6-4b3e-442d-08dd688b4ef4,4
CORSAIR Vengeance RGB 16GB (2x8GB) DDR5 5200MHz,Corsair,,DDR5,16GB,2x8gb,DDR5200 MHz,40,,,,,,,,$59,5/5,0,In Stock,$104,https://pangoly.com/en/product/corsair-vengeance-rgb-16gb-2x8gb-ddr5-5200mhz,e82825bb-a6e1-4c8c-5743-08dd256d2274,4
Silicon Power XPOWER Pulse Gaming 32GB (2x16GB)...,Silicon Power,SP032GXLWU560FDJ,DDR5,32GB,2x16gb,DDR5600 MHz,40,,14.28 ns,1.25 V,Yes,No,,"July 2024* First availability for purchase, it may not correspond to the actual market launch date.",$115,5/5,0,In Stock,$114,https://pangoly.com/en/product/silicon-power-xpower-pulse-gaming-32gb-2x16gb-ddr5-5600,4070d36d-530d-413d-4431-08dd688b4ef4,4
Silicon Power XPOWER Pulse Gaming 64GB (2x32GB)...,Silicon Power,SP064GXLWU560FDJ,DDR5,64GB,2x32gb,DDR5600 MHz,40,,14.28 ns,1.25 V,Yes,No,,"July 2024* First availability for purchase, it may not correspond to the actual market launch date.",$205,5/5,0,Availability not specified,Price not found,https://pangoly.com/en/product/silicon-power-xpower-pulse-gaming-64gb-2x32gb-ddr5-5600,d7ca236c-8981-4575-4430-08dd688b4ef4,4
Patriot Viper Venom 32GB (2X16GB) DDR5 6000,Patriot,,DDR5,32GB,2x16gb,,30,,,,,,,,$138,5/5,28,In Stock,$150,https://pangoly.com/en/product/patriot-viper-venom-32gb-2x16gb-ddr5-6000,819fc521-08c7-46f2-5741-08dd256d2274,4
Patriot Viper Venom 64GB (2X32GB) DDR5 6000MHz,Patriot,,DDR5,64GB,2x32gb,DDR6000 MHz,30,,,,,,,,$240,5/5,69,In Stock,$280,https://pangoly.com/en/product/patriot-viper-venom-64gb-2x32gb-ddr5-6000mhz,b4389fc3-8b9a-4e0b-442b-08dd688b4ef4,4
Crucial Pro Overclocking 32GB (2x16GB) DDR5 600...,Crucial,CP2K16G60C36U5W,DDR5,32GB,2x16gb,DDR6000 MHz,36,36-38-38-80,12 ns,1.35 V,Yes,No,White,"May 2024* First availability for purchase, it may not correspond to the actual market launch date.",$119,5/5,3,In Stock,$132,https://pangoly.com/en/product/crucial-pro-overclocking-32gb-2x16gb-ddr5-6000mhz-white,dbf2249d-c356-4607-7d0a-08dc7a8f254c,4
Crucial Pro Overclocking 16GB DDR5 6000 White,Crucial,CP16G60C36U5W,DDR5,16GB,,DDR5-6000 MHz,36,36-38-38-80,12 ns,1.35 V,Yes,No,White,"May 2024* First availability for purchase, it may not correspond to the actual market launch date.",$79,5/5,0,Out of Stock,$57,https://pangoly.com/en/product/crucial-pro-overclocking-16gb-ddr5-6000-white,7a49433e-f36b-1410-8bd7-003fe7c988bc,4
CORSAIR WS 64GB (4x16GB) DDR5 6400MHz ECC RDIMM,Corsair,,DDR5,64GB,4x16gb,DDR6400 MHz,32,,,,,,,,$466,5/5,0,In Stock,$571,https://pangoly.com/en/product/corsair-ws-64gb-4x16gb-ddr5-6400mhz-ecc-rdimm,157d056c-8bed-4eea-fda5-08dc8545b415,4
CORSAIR WS 64GB (4x16GB) DDR5 5600MHz ECC RDIMM,Corsair,,DDR5,64GB,4x16gb,DDR5600 MHz,40,,,,,,,,$420,5/5,0,In Stock,$690,https://pangoly.com/en/product/corsair-ws-64gb-4x16gb-ddr5-5600mhz-ecc-rdimm,5e715fa1-8e53-4cb8-fdaf-08dc8545b415,4
CORSAIR WS 128GB (8x16GB) DDR5 5600MHz ECC RDIMM,Corsair,,DDR5,128GB,8x16gb,DDR5600 MHz,40,,,,,,,,$900,5/5,0,In Stock,$1371,https://pangoly.com/en/product/corsair-ws-128gb-8x16gb-ddr5-5600mhz-ecc-rdimm,4a5917d6-9da4-440a-fdaa-08dc8545b415,4
CORSAIR WS 128GB (4x32GB) DDR5 5600MHz ECC RDIMM,Corsair,,DDR5,128GB,4x32gb,DDR5600 MHz,40,,,,,,,,$920,5/5,0,Out of Stock,$879,https://pangoly.com/en/product/corsair-ws-128gb-4x32gb-ddr5-5600mhz-ecc-rdimm,180b0e73-c16f-43d6-fd92-08dc8545b415,4
CORSAIR WS 256GB (8x32GB) DDR5 5600MHz ECC RDIMM,Corsair,,DDR5,256GB,8x32gb,DDR5600 MHz,40,,,,,,,,$1666,5/5,0,Out of Stock,$1789,https://pangoly.com/en/product/corsair-ws-256gb-8x32gb-ddr5-5600mhz-ecc-rdimm,869d1040-a923-4944-fd8b-08dc8545b415,5
Kingston Fury Beast 8GB DDR5 6000,Kingston,,DDR5,8GB,,,30,,,,,,,,$47,5/5,0,In Stock,$43,https://pangoly.com/en/product/kingston-fury-beast-8gb-ddr5-6000,f56ede35-fdb5-49dd-7d59-08dc7a8f254c,5
Kingston Fury Beast RGB 8GB DDR5 6000 AMD Expo,Kingston,,DDR5,8GB,,,30,,,,,,,,$43,5/5,0,In Stock,$49,https://pangoly.com/en/product/kingston-fury-beast-rgb-8gb-ddr5-6000-amd-expo,e4caf778-8cc8-40a7-7d65-08dc7a8f254c,5
Kingston Fury Beast 16GB DDR5 6000 AMD Expo,Kingston,,DDR5,16GB,,,30,,,,,,,,$80,5/5,0,In Stock,$79,https://pangoly.com/en/product/kingston-fury-beast-16gb-ddr5-6000-amd-expo,8de3b265-3161-4ee3-7d51-08dc7a8f254c,5
Kingston Fury Beast RGB 16GB DDR5 6400,Kingston,,DDR5,16GB,,,32,,,,,,,,$79,5/5,0,In Stock,$85,https://pangoly.com/en/product/kingston-fury-beast-rgb-16gb-ddr5-6400,07e541fb-3e32-45fa-6195-08dccd8f6931,5
Kingston Fury Beast 16GB DDR5 6400 AMD Expo,Kingston,,DDR5,16GB,,,32,,,,,,,,$79,5/5,0,In Stock,$85,https://pangoly.com/en/product/kingston-fury-beast-16gb-ddr5-6400-amd-expo,1df4076b-0370-4b09-61a4-08dccd8f6931,5
Kingston Fury Beast 16GB (2x8GB) DDR5 6000,Kingston,,DDR5,16GB,2x8gb,,30,,,,,,,,$96,5/5,0,In Stock,$86,https://pangoly.com/en/product/kingston-fury-beast-16gb-2x8gb-ddr5-6000,b68146a0-8744-406c-7d45-08dc7a8f254c,5
Kingston Fury Beast RGB 16GB DDR5 6000 AMD Expo,Kingston,,DDR5,16GB,,,30,,,,,,,,$79,5/5,0,In Stock,$87,https://pangoly.com/en/product/kingston-fury-beast-rgb-16gb-ddr5-6000-amd-expo,e2015c08-11f9-42fd-7d66-08dc7a8f254c,5
Kingston Fury Beast RGB 16GB (2x8GB) DDR5 6000 ...,Kingston,,DDR5,16GB,2x8gb,,30,,,,,,,,$86,5/5,0,In Stock,$96,https://pangoly.com/en/product/kingston-fury-beast-rgb-16gb-2x8gb-ddr5-6000-amd-expo,d2c289f4-5b96-42fc-7d53-08dc7a8f254c,5
Kingston Fury Beast 32GB DDR5 6000 AMD Expo,Kingston,,DDR5,32GB,,,30,,,,,,,,$155,5/5,0,In Stock,$143,https://pangoly.com/en/product/kingston-fury-beast-32gb-ddr5-6000-amd-expo,ba0571dc-a2eb-4ccd-7d54-08dc7a8f254c,5
Kingston Fury Beast 16GB DDR5 6400 White AMD Expo,Kingston,,DDR5,16GB,,,32,,,,,,,,$79,5/5,0,In Stock,$145,https://pangoly.com/en/product/kingston-fury-beast-16gb-ddr5-6400-white-amd-expo,bff5bab8-f026-4df2-61a5-08dccd8f6931,5
Kingston Fury Beast RGB 32GB DDR5 6000 AMD Expo,Kingston,,DDR5,32GB,,,30,,,,,,,,$143,5/5,0,In Stock,$155,https://pangoly.com/en/product/kingston-fury-beast-rgb-32gb-ddr5-6000-amd-expo,a57c488d-ee79-4816-7d6c-08dc7a8f254c,5
Kingston Fury Beast 32GB (2x16GB) DDR5 6400 AMD...,Kingston,,DDR5,32GB,2x16gb,,32,,,,,,,,$138,5/5,30,In Stock,$156,https://pangoly.com/en/product/kingston-fury-beast-32gb-2x16gb-ddr5-6400-amd-expo,3b30d6a1-ebd4-4ad3-61ac-08dccd8f6931,6
Kingston Fury Beast RGB 32GB DDR5 6400 AMD Expo,Kingston,,DDR5,32GB,,,32,,,,,,,,$143,5/5,0,In Stock,$159,https://pangoly.com/en/product/kingston-fury-beast-rgb-32gb-ddr5-6400-amd-expo,cadc501c-d8df-46b1-6199-08dccd8f6931,6
Kingston Fury Beast RGB 32GB (2x16GB) DDR5 6000...,Kingston,KF560C30BBEAK2-32,DDR5,32GB,2x16gb,DDR5-6000 MHz,30,30-36-36,10 ns,1.4 V,Yes,No,RGB,"March 2024* First availability for purchase, it may not correspond to the actual market launch date.",$138,5/5,24,In Stock,$159,https://pangoly.com/en/product/kingston-fury-beast-rgb-32gb-2x16gb-ddr5-6000-amd-expo,d22cb842-56a3-4852-7d50-08dc7a8f254c,6
Kingston Fury Beast RGB 32GB (2x16GB) DDR5 6400...,Kingston,,DDR5,32GB,2x16gb,,32,,,,,,,,$138,5/5,30,In Stock,$172,https://pangoly.com/en/product/kingston-fury-beast-rgb-32gb-2x16gb-ddr5-6400-amd-expo,c4473a34-2f20-48dd-619d-08dccd8f6931,6
Kingston Fury Beast RGB 16GB DDR5 6400 White,Kingston,,DDR5,16GB,,,32,,,,,,,,$79,5/5,0,In Stock,$187,https://pangoly.com/en/product/kingston-fury-beast-rgb-16gb-ddr5-6400-white,8359601f-b7b7-492b-6194-08dccd8f6931,6
Kingston FURY Beast RGB 32GB (2x16GB) DDR5 6400...,Kingston,,DDR5,32GB,2x16gb,,32,,,,,,,,$138,5/5,30,In Stock,$190,https://pangoly.com/en/product/kingston-fury-beast-rgb-32gb-2x16gb-ddr5-6400-white-amd-expo,b7c39143-c38c-4447-619e-08dccd8f6931,6
Kingston Fury Beast White 16GB DDR5 6000,Kingston,KF560C30BWE-16,DDR5,16GB,,DDR5-6000 MHz,30,,10 ns,1.4 V,Yes,No,,"March 2024* First availability for purchase, it may not correspond to the actual market launch date.",$79,5/5,0,In Stock,$192,https://pangoly.com/en/product/kingston-fury-beast-white-16gb-ddr5-6000,783f45b3-52f4-4e5b-7d5f-08dc7a8f254c,6
Kingston Fury Beast RGB 16GB DDR5 6000 KF560C30...,Kingston,KF560C30BBA-16,DDR5,16GB,,DDR5-6000 MHz,30,,10 ns,1.4 V,Yes,No,RGB,"March 2024* First availability for purchase, it may not correspond to the actual market launch date.",$79,5/5,0,In Stock,$197,https://pangoly.com/en/product/kingston-fury-beast-rgb-16gb-ddr5-6000-kf560c30bba-16,33606cbb-b0c4-4970-7d68-08dc7a8f254c,6
Kingston FURY Beast 32GB (2x16GB) DDR5 6400 Whi...,Kingston,,DDR5,32GB,2x16gb,,32,,,,,,,,$138,5/5,30,In Stock,$198,https://pangoly.com/en/product/kingston-fury-beast-32gb-2x16gb-ddr5-6400-white-amd-expo,2a48db75-512c-4ad8-61ad-08dccd8f6931,6
Kingston Fury Beast 32GB DDR5 6000 KF560C30BB-32,Kingston,KF560C30BB-32,DDR5,32GB,,DDR5-6000 MHz,30,,10 ns,1.4 V,Yes,No,,"March 2024* First availability for purchase, it may not correspond to the actual market launch date.",$143,5/5,0,In Stock,$203,https://pangoly.com/en/product/kingston-fury-beast-32gb-ddr5-6000-kf560c30bb-32,1afa1180-7d51-4602-7d62-08dc7a8f254c,6
Kingston Fury Beast White RGB 16GB DDR5 6000 KF...,Kingston,,DDR5,16GB,,,30,,,,,,,,$79,5/5,0,In Stock,$240,https://pangoly.com/en/product/kingston-fury-beast-white-rgb-16gb-ddr5-6000-kf560c30bwa-16,4aa47ab8-906a-46b7-7d5d-08dc7a8f254c,6
